method,topic_id,rank,term,weight
lda_bow,0,1,consumer,
lda_bow,0,2,information,
lda_bow,0,3,agency,
lda_bow,0,4,reporting agency,
lda_bow,0,5,reporting,
lda_bow,0,6,report,
lda_bow,0,7,consumer reporting,
lda_bow,0,8,section,
lda_bow,0,9,shall,
lda_bow,0,10,identity,
lda_bow,0,11,theft,
lda_bow,0,12,identity theft,
lda_bow,0,13,block,
lda_bow,0,14,debt,
lda_bow,0,15,company,
lda_bow,1,1,credit,
lda_bow,1,2,report,
lda_bow,1,3,credit report,
lda_bow,1,4,inquiry,
lda_bow,1,5,account,
lda_bow,1,6,information,
lda_bow,1,7,fraudulent,
lda_bow,1,8,item,
lda_bow,1,9,remove,
lda_bow,1,10,please,
lda_bow,1,11,reporting,
lda_bow,1,12,removed,
lda_bow,1,13,opened,
lda_bow,1,14,hard,
lda_bow,1,15,identity,
lda_bow,2,1,loan,
lda_bow,2,2,mortgage,
lda_bow,2,3,would,
lda_bow,2,4,time,
lda_bow,2,5,told,
lda_bow,2,6,home,
lda_bow,2,7,get,
lda_bow,2,8,company,
lda_bow,2,9,call,
lda_bow,2,10,back,
lda_bow,2,11,year,
lda_bow,2,12,month,
lda_bow,2,13,insurance,
lda_bow,2,14,called,
lda_bow,2,15,could,
lda_bow,3,1,debt,
lda_bow,3,2,collection,
lda_bow,3,3,credit,
lda_bow,3,4,company,
lda_bow,3,5,report,
lda_bow,3,6,never,
lda_bow,3,7,agency,
lda_bow,3,8,bill,
lda_bow,3,9,credit report,
lda_bow,3,10,call,
lda_bow,3,11,received,
lda_bow,3,12,amount,
lda_bow,3,13,owe,
lda_bow,3,14,account,
lda_bow,3,15,paid,
lda_bow,4,1,account,
lda_bow,4,2,credit,
lda_bow,4,3,report,
lda_bow,4,4,reporting,
lda_bow,4,5,credit report,
lda_bow,4,6,information,
lda_bow,4,7,date,
lda_bow,4,8,bureau,
lda_bow,4,9,balance,
lda_bow,4,10,reported,
lda_bow,4,11,inaccurate,
lda_bow,4,12,credit bureau,
lda_bow,4,13,experian,
lda_bow,4,14,removed,
lda_bow,4,15,number,
lda_bow,5,1,credit,
lda_bow,5,2,reporting,
lda_bow,5,3,consumer,
lda_bow,5,4,account,
lda_bow,5,5,act,
lda_bow,5,6,law,
lda_bow,5,7,debt,
lda_bow,5,8,violation,
lda_bow,5,9,information,
lda_bow,5,10,provide,
lda_bow,5,11,fair,
lda_bow,5,12,fcra,
lda_bow,5,13,credit reporting,
lda_bow,5,14,right,
lda_bow,5,15,request,
lda_bow,6,1,information,
lda_bow,6,2,account,
lda_bow,6,3,theft,
lda_bow,6,4,identity,
lda_bow,6,5,identity theft,
lda_bow,6,6,credit,
lda_bow,6,7,report,
lda_bow,6,8,consumer,
lda_bow,6,9,inquiry,
lda_bow,6,10,reporting,
lda_bow,6,11,date,
lda_bow,6,12,agency,
lda_bow,6,13,section,
lda_bow,6,14,file,
lda_bow,6,15,furnisher,
lda_bow,7,1,payment,
lda_bow,7,2,credit,
lda_bow,7,3,late,
lda_bow,7,4,month,
lda_bow,7,5,due,
lda_bow,7,6,paid,
lda_bow,7,7,account,
lda_bow,7,8,balance,
lda_bow,7,9,made,
lda_bow,7,10,would,
lda_bow,7,11,time,
lda_bow,7,12,fee,
lda_bow,7,13,score,
lda_bow,7,14,pay,
lda_bow,7,15,interest,
lda_bow,8,1,letter,
lda_bow,8,2,sent,
lda_bow,8,3,dispute,
lda_bow,8,4,information,
lda_bow,8,5,received,
lda_bow,8,6,credit,
lda_bow,8,7,complaint,
lda_bow,8,8,response,
lda_bow,8,9,address,
lda_bow,8,10,one,
lda_bow,8,11,day,
lda_bow,8,12,capital,
lda_bow,8,13,request,
lda_bow,8,14,time,
lda_bow,8,15,company,
lda_bow,9,1,account,
lda_bow,9,2,card,
lda_bow,9,3,bank,
lda_bow,9,4,money,
lda_bow,9,5,told,
lda_bow,9,6,would,
lda_bow,9,7,called,
lda_bow,9,8,credit card,
lda_bow,9,9,call,
lda_bow,9,10,time,
lda_bow,9,11,charge,
lda_bow,9,12,back,
lda_bow,9,13,check,
lda_bow,9,14,day,
lda_bow,9,15,said,
